English,Hindi,Kaithi
He reads Arabic,वह अरबी पढ़ सकता है।,𑂫𑂯 𑂃𑂩𑂥𑂲 𑂣𑂛़ 𑂮𑂍𑂞𑂰 𑂯𑂶।
He's my husband,यह मेरा पति है।,𑂨𑂯 𑂧𑂵𑂩𑂰 𑂣𑂞𑂱 𑂯𑂶।
How is everyone,सब लोग कैसे हैं?,𑂮𑂥 𑂪𑂷𑂏 𑂍𑂶𑂮𑂵 𑂯𑂶𑂁?
How is it going,कैसा चल रहा है?,𑂍𑂶𑂮𑂰 𑂒𑂪 𑂩𑂯𑂰 𑂯𑂶?
How old are you,तुम कितने साल के हो?,𑂞𑂳𑂧 𑂍𑂱𑂞𑂢𑂵 𑂮𑂰𑂪 𑂍𑂵 𑂯𑂷?
How rude of you,कितने बदतमीज़ हो तुम!,𑂍𑂱𑂞𑂢𑂵 𑂥𑂠𑂞𑂧𑂲𑂔़ 𑂯𑂷 𑂞𑂳𑂧!
How rude of you,बदतमीज़!,𑂥𑂠𑂞𑂧𑂲𑂔़!
I cooked dinner,मैंने रात का खाना पकाया।,𑂧𑂶𑂁𑂢𑂵 𑂩𑂰𑂞 𑂍𑂰 𑂎𑂰𑂢𑂰 𑂣𑂍𑂰𑂨𑂰।
I feel nauseous,मुझे उल्टी आ रही है।,𑂧𑂳𑂕𑂵 𑂇𑂪𑂹𑂗𑂲 𑂄 𑂩𑂯𑂲 𑂯𑂶।
I go every year,मैं हर साल जाता हूँ।,𑂧𑂶𑂁 𑂯𑂩 𑂮𑂰𑂪 𑂔𑂰𑂞𑂰 𑂯𑂴𑂀।
I heard a noise,मुझे कोई आवाज़ सुनाई दी।,𑂧𑂳𑂕𑂵 𑂍𑂷𑂆 𑂄𑂫𑂰𑂔़ 𑂮𑂳𑂢𑂰𑂆 𑂠𑂲।
I like this one,मुझे यह वाला पसंद है।,𑂧𑂳𑂕𑂵 𑂨𑂯 𑂫𑂰𑂪𑂰 𑂣𑂮𑂁𑂠 𑂯𑂶।
I run every day,मैं रोज़ दौड़ने जाता हूँ।,𑂧𑂶𑂁 𑂩𑂷𑂔़ 𑂠𑂸𑂙़𑂢𑂵 𑂔𑂰𑂞𑂰 𑂯𑂴𑂀।
I saw her again,मैंने उसे फिरसे देखा।,𑂧𑂶𑂁𑂢𑂵 𑂇𑂮𑂵 𑂤𑂱𑂩𑂮𑂵 𑂠𑂵𑂎𑂰।
I want a guitar,मुझे गिटार चाहिए।,𑂧𑂳𑂕𑂵 𑂏𑂱𑂗𑂰𑂩 𑂒𑂰𑂯𑂱𑂉।
I was assaulted,मुझपर हमला किया गया।,𑂧𑂳𑂕𑂣𑂩 𑂯𑂧𑂪𑂰 𑂍𑂱𑂨𑂰 𑂏𑂨𑂰।
I'm a good cook,मैं अच्छा रसोइया हूँ।,𑂧𑂶𑂁 𑂃𑂒𑂹𑂓𑂰 𑂩𑂮𑂷𑂅𑂨𑂰 𑂯𑂴𑂀।
I'm a good cook,मैं अच्छा बावर्ची हूँ।,𑂧𑂶𑂁 𑂃𑂒𑂹𑂓𑂰 𑂥𑂰𑂫𑂩𑂹𑂒𑂲 𑂯𑂴𑂀।
I'm lucky today,आज मेरा नसीब अच्छा है।,𑂄𑂔 𑂧𑂵𑂩𑂰 𑂢𑂮𑂲𑂥 𑂃𑂒𑂹𑂓𑂰 𑂯𑂶।
Is anybody here,कोई है क्या?,𑂍𑂷𑂆 𑂯𑂶 𑂍𑂹𑂨𑂰?
Is it not black,क्या यह काला नहीं है?,𑂍𑂹𑂨𑂰 𑂨𑂯 𑂍𑂰𑂪𑂰 𑂢𑂯𑂲𑂁 𑂯𑂶?
Is there a cafe,यहाँ कैफ़े है क्या?,𑂨𑂯𑂰𑂀 𑂍𑂶𑂤़𑂵 𑂯𑂶 𑂍𑂹𑂨𑂰?
Let's fly kites,चलो पतंग उड़ाएँ!,𑂒𑂪𑂷 𑂣𑂞𑂁𑂏 𑂇𑂙़𑂰𑂉𑂀!
"No, I didn't go","नहीं, मैं नहीं गया था।","𑂢𑂯𑂲𑂁, 𑂧𑂶𑂁 𑂢𑂯𑂲𑂁 𑂏𑂨𑂰 𑂟𑂰।"
Nobody's around,आसपास कोई नहीं है।,𑂄𑂮𑂣𑂰𑂮 𑂍𑂷𑂆 𑂢𑂯𑂲𑂁 𑂯𑂶।
Now stop crying,बस अब रोना बंद करो।,𑂥𑂮 𑂃𑂥 𑂩𑂷𑂢𑂰 𑂥𑂁𑂠 𑂍𑂩𑂷।
Open your mouth,अपना मूँह खोलो!,𑂃𑂣𑂢𑂰 𑂧𑂴𑂀𑂯 𑂎𑂷𑂪𑂷!
Please sit down,बैठिए।,𑂥𑂶𑂘𑂱𑂉।
She is a beauty,वह तो हसीना है।,𑂫𑂯 𑂞𑂷 𑂯𑂮𑂲𑂢𑂰 𑂯𑂶।
She talks a lot,वह बहुत बोलती है।,𑂫𑂯 𑂥𑂯𑂳𑂞 𑂥𑂷𑂪𑂞𑂲 𑂯𑂶।
She talks a lot,वह बहुत बक-बक करती है।,𑂫𑂯 𑂥𑂯𑂳𑂞 𑂥𑂍-𑂥𑂍 𑂍𑂩𑂞𑂲 𑂯𑂶।
That isn't fair,यह तो ठीक नहीं है।,𑂨𑂯 𑂞𑂷 𑂘𑂲𑂍 𑂢𑂯𑂲𑂁 𑂯𑂶।
That's my fault,वह मेरी गलती है।,𑂫𑂯 𑂧𑂵𑂩𑂲 𑂏𑂪𑂞𑂲 𑂯𑂶।
The dog is mine,कुत्ता मेरा है।,𑂍𑂳𑂞𑂹𑂞𑂰 𑂧𑂵𑂩𑂰 𑂯𑂶।
The power's out,बिजली गई हुई है।,𑂥𑂱𑂔𑂪𑂲 𑂏𑂆 𑂯𑂳𑂆 𑂯𑂶।
These are birds,ये चिड़ियाँ हैं।,𑂨𑂵 𑂒𑂱𑂙़𑂱𑂨𑂰𑂀 𑂯𑂶𑂁।
This is for you,यह तुम्हारे लिए है।,𑂨𑂯 𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂵 𑂪𑂱𑂉 𑂯𑂶।
We lack nothing,हमे किसी भी चीज़ की कमी नहीं है।,𑂯𑂧𑂵 𑂍𑂱𑂮𑂲 𑂦𑂲 𑂒𑂲𑂔़ 𑂍𑂲 𑂍𑂧𑂲 𑂢𑂯𑂲𑂁 𑂯𑂶।
We study Arabic,हम अरबी पढ़तें हैं।,𑂯𑂧 𑂃𑂩𑂥𑂲 𑂣𑂛़𑂞𑂵𑂁 𑂯𑂶𑂁।
What time is it,अभी कितने बजे हैं?,𑂃𑂦𑂲 𑂍𑂱𑂞𑂢𑂵 𑂥𑂔𑂵 𑂯𑂶𑂁?
What time is it,अभी क्या समय हो रहा है?,𑂃𑂦𑂲 𑂍𑂹𑂨𑂰 𑂮𑂧𑂨 𑂯𑂷 𑂩𑂯𑂰 𑂯𑂶?
Where's my book,मेरी किताब कहाँ है?,𑂧𑂵𑂩𑂲 𑂍𑂱𑂞𑂰𑂥 𑂍𑂯𑂰𑂀 𑂯𑂶?
You startled me,तुमने मुझे डरा दिया!,𑂞𑂳𑂧𑂢𑂵 𑂧𑂳𑂕𑂵 𑂙𑂩𑂰 𑂠𑂱𑂨𑂰!
You're a person,तुम इनसान हो।,𑂞𑂳𑂧 𑂅𑂢𑂮𑂰𑂢 𑂯𑂷।
Are you a doctor,आप डॉक्टर हैं क्या?,𑂄𑂣 𑂙ॉ𑂍𑂹𑂗𑂩 𑂯𑂶𑂁 𑂍𑂹𑂨𑂰?
Can you teach me,क्या तुम मुझे सिखा सकते हो?,𑂍𑂹𑂨𑂰 𑂞𑂳𑂧 𑂧𑂳𑂕𑂵 𑂮𑂱𑂎𑂰 𑂮𑂍𑂞𑂵 𑂯𑂷?
Climb to the top,ऊपर तक चढ़ जाओ।,𑂈𑂣𑂩 𑂞𑂍 𑂒𑂛़ 𑂔𑂰𑂋।
Come and join us,आओ हमारे साथ बैठो।,𑂄𑂋 𑂯𑂧𑂰𑂩𑂵 𑂮𑂰𑂟 𑂥𑂶𑂘𑂷।
Come sit with us,आओ हमारे साथ बैठो।,𑂄𑂋 𑂯𑂧𑂰𑂩𑂵 𑂮𑂰𑂟 𑂥𑂶𑂘𑂷।
Cut the potatoes,आलूओं को काटो।,𑂄𑂪𑂴𑂋𑂁 𑂍𑂷 𑂍𑂰𑂗𑂷।
Do you have rice,तुम्हारे पास चावल है क्या?,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂵 𑂣𑂰𑂮 𑂒𑂰𑂫𑂪 𑂯𑂶 𑂍𑂹𑂨𑂰?
Don't make faces,मूँह मत बनाओ।,𑂧𑂴𑂀𑂯 𑂧𑂞 𑂥𑂢𑂰𑂋।
Don't make noise,शोर मत मचाओ।,𑂬𑂷𑂩 𑂧𑂞 𑂧𑂒𑂰𑂋।
Have a good time,मज़े करो।,𑂧𑂔़𑂵 𑂍𑂩𑂷।
Have a nice time,मज़े करो।,𑂧𑂔़𑂵 𑂍𑂩𑂷।
He has long legs,उसके पैर लम्बे हैं।,𑂇𑂮𑂍𑂵 𑂣𑂶𑂩 𑂪𑂧𑂹𑂥𑂵 𑂯𑂶𑂁।
He is her friend,वह उसका दोस्त है।,𑂫𑂯 𑂇𑂮𑂍𑂰 𑂠𑂷𑂮𑂹𑂞 𑂯𑂶।
He likes oranges,उसे संत्रे अच्छे लगते हैं।,𑂇𑂮𑂵 𑂮𑂁𑂞𑂹𑂩𑂵 𑂃𑂒𑂹𑂓𑂵 𑂪𑂏𑂞𑂵 𑂯𑂶𑂁।
He likes oranges,उसे नारंगी अच्छे लगते हैं।,𑂇𑂮𑂵 𑂢𑂰𑂩𑂁𑂏𑂲 𑂃𑂒𑂹𑂓𑂵 𑂪𑂏𑂞𑂵 𑂯𑂶𑂁।
He must love you,वह तुमसे प्यार करता होगा।,𑂫𑂯 𑂞𑂳𑂧𑂮𑂵 𑂣𑂹𑂨𑂰𑂩 𑂍𑂩𑂞𑂰 𑂯𑂷𑂏𑂰।
He speaks Arabic,वह अरबी बोलता है।,𑂫𑂯 𑂃𑂩𑂥𑂲 𑂥𑂷𑂪𑂞𑂰 𑂯𑂶।
Here is your bag,"यह लो, तुम्हारा बस्ता।","𑂨𑂯 𑂪𑂷, 𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂰 𑂥𑂮𑂹𑂞𑂰।"
I can't remember,मुझे याद नहीं।,𑂧𑂳𑂕𑂵 𑂨𑂰𑂠 𑂢𑂯𑂲𑂁।
I don't know him,मैं उसे नहीं जानता।,𑂧𑂶𑂁 𑂇𑂮𑂵 𑂢𑂯𑂲𑂁 𑂔𑂰𑂢𑂞𑂰।
I have a problem,मैं मुश्किल में हूँ।,𑂧𑂶𑂁 𑂧𑂳𑂬𑂹𑂍𑂱𑂪 𑂧𑂵𑂁 𑂯𑂴𑂀।
I have to go now,मुझे अभी जाना है।,𑂧𑂳𑂕𑂵 𑂃𑂦𑂲 𑂔𑂰𑂢𑂰 𑂯𑂶।
I live near here,मैं आस-पड़ोस में रहता हूँ।,𑂧𑂶𑂁 𑂄𑂮-𑂣𑂙़𑂷𑂮 𑂧𑂵𑂁 𑂩𑂯𑂞𑂰 𑂯𑂴𑂀।
I love my mother,मैं अपनी माँ से प्यार करता हूँ,𑂧𑂶𑂁 𑂃𑂣𑂢𑂲 𑂧𑂰𑂀 𑂮𑂵 𑂣𑂹𑂨𑂰𑂩 𑂍𑂩𑂞𑂰 𑂯𑂴𑂀
I must leave now,मुझे अब जाना होगा।,𑂧𑂳𑂕𑂵 𑂃𑂥 𑂔𑂰𑂢𑂰 𑂯𑂷𑂏𑂰।
I'm really tired,मैं बहुत थक गया हूँ।,𑂧𑂶𑂁 𑂥𑂯𑂳𑂞 𑂟𑂍 𑂏𑂨𑂰 𑂯𑂴𑂀।
I'm very thirsty,मुझे बहुत प्यास लगी है।,𑂧𑂳𑂕𑂵 𑂥𑂯𑂳𑂞 𑂣𑂹𑂨𑂰𑂮 𑂪𑂏𑂲 𑂯𑂶।
It's April first,आज एक अप्रैल है।,𑂄𑂔 𑂉𑂍 𑂃𑂣𑂹𑂩𑂶𑂪 𑂯𑂶।
It's now my turn,अब मेरी बारी है।,𑂃𑂥 𑂧𑂵𑂩𑂲 𑂥𑂰𑂩𑂲 𑂯𑂶।
Let me try again,मै फिर से कोशिश करता हूँ।,𑂧𑂶 𑂤𑂱𑂩 𑂮𑂵 𑂍𑂷𑂬𑂱𑂬 𑂍𑂩𑂞𑂰 𑂯𑂴𑂀।
Nice to meet you,आपसे मिलकर खुशी हुई।,𑂄𑂣𑂮𑂵 𑂧𑂱𑂪𑂍𑂩 𑂎𑂳𑂬𑂲 𑂯𑂳𑂆।
Please follow me,मेरे साथ आईए।,𑂧𑂵𑂩𑂵 𑂮𑂰𑂟 𑂄𑂆𑂉।
Please sign here,यहाँ अपना हस्ताक्षर कीजिए।,𑂨𑂯𑂰𑂀 𑂃𑂣𑂢𑂰 𑂯𑂮𑂹𑂞𑂰𑂍𑂹𑂭𑂩 𑂍𑂲𑂔𑂱𑂉।
She betrayed you,उसने तुम्हें धोखा दिया।,𑂇𑂮𑂢𑂵 𑂞𑂳𑂧𑂹𑂯𑂵𑂁 𑂡𑂷𑂎𑂰 𑂠𑂱𑂨𑂰।
"Sit down, please",बैठिए।,𑂥𑂶𑂘𑂱𑂉।
The car is ready,गाड़ी तैयार है।,𑂏𑂰𑂙़𑂲 𑂞𑂶𑂨𑂰𑂩 𑂯𑂶।
This is your dog,यह तुम्हारा कुत्ता है।,𑂨𑂯 𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂰 𑂍𑂳𑂞𑂹𑂞𑂰 𑂯𑂶।
This is your key,यह आपकी चाबी है।,𑂨𑂯 𑂄𑂣𑂍𑂲 𑂒𑂰𑂥𑂲 𑂯𑂶।
This isn't right,यह सही नहीं है।,𑂨𑂯 𑂮𑂯𑂲 𑂢𑂯𑂲𑂁 𑂯𑂶।
Tom is my friend,टॉम मेरा दोस्त है।,𑂗ॉ𑂧 𑂧𑂵𑂩𑂰 𑂠𑂷𑂮𑂹𑂞 𑂯𑂶।
We're going home,हम घर जा रहें हैं।,𑂯𑂧 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂵𑂁 𑂯𑂶𑂁।
We're in a hurry,हम जल्दी में हैं।,𑂯𑂧 𑂔𑂪𑂹𑂠𑂲 𑂧𑂵𑂁 𑂯𑂶𑂁।
Welcome to Japan,जापान में आपका स्वागत है।,𑂔𑂰𑂣𑂰𑂢 𑂧𑂵𑂁 𑂄𑂣𑂍𑂰 𑂮𑂹𑂫𑂰𑂏𑂞 𑂯𑂶।
What is your age,तुम्हारी उम्र क्या है?,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂲 𑂇𑂧𑂹𑂩 𑂍𑂹𑂨𑂰 𑂯𑂶?
What's that bird,वह कौनसी चिड़िया है?,𑂫𑂯 𑂍𑂸𑂢𑂮𑂲 𑂒𑂱𑂙़𑂱𑂨𑂰 𑂯𑂶?
What's the story,क्या कहानी है?,𑂍𑂹𑂨𑂰 𑂍𑂯𑂰𑂢𑂲 𑂯𑂶?
What's your name,आपका नाम क्या है?,𑂄𑂣𑂍𑂰 𑂢𑂰𑂧 𑂍𑂹𑂨𑂰 𑂯𑂶?
Where did you go,तुम कहाँ गए थे?,𑂞𑂳𑂧 𑂍𑂯𑂰𑂀 𑂏𑂉 𑂟𑂵?
Where is the bar,शराबख़ाना कहाँ है?,𑂬𑂩𑂰𑂥ख़𑂰𑂢𑂰 𑂍𑂯𑂰𑂀 𑂯𑂶?
Whose turn is it,किसकी बारी है?,𑂍𑂱𑂮𑂍𑂲 𑂥𑂰𑂩𑂲 𑂯𑂶?
You may be right,तुम शायद सही हो।,𑂞𑂳𑂧 𑂬𑂰𑂨𑂠 𑂮𑂯𑂲 𑂯𑂷।
Are your eyes bad,तुम्हारी आँखे खराब हैं क्या?,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂲 𑂄𑂀𑂎𑂵 𑂎𑂩𑂰𑂥 𑂯𑂶𑂁 𑂍𑂹𑂨𑂰?
Birds build nests,पक्षी घोसले बनातें हैं।,𑂣𑂍𑂹𑂭𑂲 𑂐𑂷𑂮𑂪𑂵 𑂥𑂢𑂰𑂞𑂵𑂁 𑂯𑂶𑂁।
Birds build nests,चिड़ियाँ घोसले बनातीं हैं।,𑂒𑂱𑂙़𑂱𑂨𑂰𑂀 𑂐𑂷𑂮𑂪𑂵 𑂥𑂢𑂰𑂞𑂲𑂁 𑂯𑂶𑂁।
Boys will be boys,लड़के तो लड़के ही रहेंगे।,𑂪𑂙़𑂍𑂵 𑂞𑂷 𑂪𑂙़𑂍𑂵 𑂯𑂲 𑂩𑂯𑂵𑂁𑂏𑂵।
Can I do anything,मैं कुछ कर सकता हूँ क्या?,𑂧𑂶𑂁 𑂍𑂳𑂓 𑂍𑂩 𑂮𑂍𑂞𑂰 𑂯𑂴𑂀 𑂍𑂹𑂨𑂰?
Didn't you go out,आप बाहर नहीं गए थें क्या?,𑂄𑂣 𑂥𑂰𑂯𑂩 𑂢𑂯𑂲𑂁 𑂏𑂉 𑂟𑂵𑂁 𑂍𑂹𑂨𑂰?
Didn't you go out,तुम बाहर नहीं गए थे क्या?,𑂞𑂳𑂧 𑂥𑂰𑂯𑂩 𑂢𑂯𑂲𑂁 𑂏𑂉 𑂟𑂵 𑂍𑂹𑂨𑂰?
Didn't you go out,तू बाहर नहीं गया था क्या?,𑂞𑂴 𑂥𑂰𑂯𑂩 𑂢𑂯𑂲𑂁 𑂏𑂨𑂰 𑂟𑂰 𑂍𑂹𑂨𑂰?
Do you believe me,क्या तुम्हे मुझपर यकीन है?,𑂍𑂹𑂨𑂰 𑂞𑂳𑂧𑂹𑂯𑂵 𑂧𑂳𑂕𑂣𑂩 𑂨𑂍𑂲𑂢 𑂯𑂶?
Do you believe me,क्या तुम मुझपर यकीन करते हो?,𑂍𑂹𑂨𑂰 𑂞𑂳𑂧 𑂧𑂳𑂕𑂣𑂩 𑂨𑂍𑂲𑂢 𑂍𑂩𑂞𑂵 𑂯𑂷?
Do you believe me,क्या तुम मेरा यकीन करते हो?,𑂍𑂹𑂨𑂰 𑂞𑂳𑂧 𑂧𑂵𑂩𑂰 𑂨𑂍𑂲𑂢 𑂍𑂩𑂞𑂵 𑂯𑂷?
Don't deceive him,उसे धोका मत दो।,𑂇𑂮𑂵 𑂡𑂷𑂍𑂰 𑂧𑂞 𑂠𑂷।
He began to shout,वह चिल्लाने लगा।,𑂫𑂯 𑂒𑂱𑂪𑂹𑂪𑂰𑂢𑂵 𑂪𑂏𑂰।
He came to see me,वह मुझसे मिलने आया था।,𑂫𑂯 𑂧𑂳𑂕𑂮𑂵 𑂧𑂱𑂪𑂢𑂵 𑂄𑂨𑂰 𑂟𑂰।
He employs a maid,वह नौकरानी रखता है।,𑂫𑂯 𑂢𑂸𑂍𑂩𑂰𑂢𑂲 𑂩𑂎𑂞𑂰 𑂯𑂶।
He is after a job,वह किसी नौकरी के पीछे पड़ा है।,𑂫𑂯 𑂍𑂱𑂮𑂲 𑂢𑂸𑂍𑂩𑂲 𑂍𑂵 𑂣𑂲𑂓𑂵 𑂣𑂙़𑂰 𑂯𑂶।
He is walking now,वह अब चल रहा है।,𑂫𑂯 𑂃𑂥 𑂒𑂪 𑂩𑂯𑂰 𑂯𑂶।
He studied abroad,उसने विदेश में पढ़ाई करी थी।,𑂇𑂮𑂢𑂵 𑂫𑂱𑂠𑂵𑂬 𑂧𑂵𑂁 𑂣𑂛़𑂰𑂆 𑂍𑂩𑂲 𑂟𑂲।
He turned traitor,वह देशद्रोही बन गया।,𑂫𑂯 𑂠𑂵𑂬𑂠𑂹𑂩𑂷𑂯𑂲 𑂥𑂢 𑂏𑂨𑂰।
He's already left,वह जाचुका है।,𑂫𑂯 𑂔𑂰𑂒𑂳𑂍𑂰 𑂯𑂶।
I can drive a car,मैं गाड़ी चला सकता हूँ।,𑂧𑂶𑂁 𑂏𑂰𑂙़𑂲 𑂒𑂪𑂰 𑂮𑂍𑂞𑂰 𑂯𑂴𑂀।
I cried all night,मैं पूरी रात रोई।,𑂧𑂶𑂁 𑂣𑂴𑂩𑂲 𑂩𑂰𑂞 𑂩𑂷𑂆।
I got very sleepy,मुझे नींद आ गई।,𑂧𑂳𑂕𑂵 𑂢𑂲𑂁𑂠 𑂄 𑂏𑂆।
I have a headache,मेरे सिर में दर्द हो रहा है।,𑂧𑂵𑂩𑂵 𑂮𑂱𑂩 𑂧𑂵𑂁 𑂠𑂩𑂹𑂠 𑂯𑂷 𑂩𑂯𑂰 𑂯𑂶।
I have a headache,मुझे सिरदर्द हो रहा है।,𑂧𑂳𑂕𑂵 𑂮𑂱𑂩𑂠𑂩𑂹𑂠 𑂯𑂷 𑂩𑂯𑂰 𑂯𑂶।
I have some money,मेरे पास कुछ पैसे हैं।,𑂧𑂵𑂩𑂵 𑂣𑂰𑂮 𑂍𑂳𑂓 𑂣𑂶𑂮𑂵 𑂯𑂶𑂁।
I haven't met him,मेरी उससे मुलाकात नहीं हुई है।,𑂧𑂵𑂩𑂲 𑂇𑂮𑂮𑂵 𑂧𑂳𑂪𑂰𑂍𑂰𑂞 𑂢𑂯𑂲𑂁 𑂯𑂳𑂆 𑂯𑂶।
I listen to music,मैं संगीत सुनता हूँ।,𑂧𑂶𑂁 𑂮𑂁𑂏𑂲𑂞 𑂮𑂳𑂢𑂞𑂰 𑂯𑂴𑂀।
I saw him running,मैंने उसे दौड़ते हुए देखा।,𑂧𑂶𑂁𑂢𑂵 𑂇𑂮𑂵 𑂠𑂸𑂙़𑂞𑂵 𑂯𑂳𑂉 𑂠𑂵𑂎𑂰।
I saw him running,मैंने उसे भागते हुए देखा।,𑂧𑂶𑂁𑂢𑂵 𑂇𑂮𑂵 𑂦𑂰𑂏𑂞𑂵 𑂯𑂳𑂉 𑂠𑂵𑂎𑂰।
I truly loved her,मैं उससे सच्चा प्यार करता था।,𑂧𑂶𑂁 𑂇𑂮𑂮𑂵 𑂮𑂒𑂹𑂒𑂰 𑂣𑂹𑂨𑂰𑂩 𑂍𑂩𑂞𑂰 𑂟𑂰।
I work for a bank,मैं बैंक में काम करता हूँ।,𑂧𑂶𑂁 𑂥𑂶𑂁𑂍 𑂧𑂵𑂁 𑂍𑂰𑂧 𑂍𑂩𑂞𑂰 𑂯𑂴𑂀।
I'm getting happy,मैं खुश हो रहा हूँ।,𑂧𑂶𑂁 𑂎𑂳𑂬 𑂯𑂷 𑂩𑂯𑂰 𑂯𑂴𑂀।
I'm not a student,मैं विद्यार्थी नहीं हूँ।,𑂧𑂶𑂁 𑂫𑂱𑂠𑂹𑂨𑂰𑂩𑂹𑂟𑂲 𑂢𑂯𑂲𑂁 𑂯𑂴𑂀।
I'm not like that,मैं वैसा नहीं हूँ।,𑂧𑂶𑂁 𑂫𑂶𑂮𑂰 𑂢𑂯𑂲𑂁 𑂯𑂴𑂀।
I'm really hungry,मुझे बहुत भूख लगी है।,𑂧𑂳𑂕𑂵 𑂥𑂯𑂳𑂞 𑂦𑂴𑂎 𑂪𑂏𑂲 𑂯𑂶।
It's not my fault,मेरी ग़लती नहीं है।,𑂧𑂵𑂩𑂲 𑂏़𑂪𑂞𑂲 𑂢𑂯𑂲𑂁 𑂯𑂶।
It's starting now,शुरू हो रहा है।,𑂬𑂳𑂩𑂴 𑂯𑂷 𑂩𑂯𑂰 𑂯𑂶।
My bag was stolen,मेरा बस्ता चोरी हो गया था।,𑂧𑂵𑂩𑂰 𑂥𑂮𑂹𑂞𑂰 𑂒𑂷𑂩𑂲 𑂯𑂷 𑂏𑂨𑂰 𑂟𑂰।
My eyes are tired,मेरी आँखें थक गईं हैं।,𑂧𑂵𑂩𑂲 𑂄𑂀𑂎𑂵𑂁 𑂟𑂍 𑂏𑂆𑂁 𑂯𑂶𑂁।
No one's in sight,आसपास कोई नहीं है।,𑂄𑂮𑂣𑂰𑂮 𑂍𑂷𑂆 𑂢𑂯𑂲𑂁 𑂯𑂶।
Put your hands up,हाथ ऊपर करो!,𑂯𑂰𑂟 𑂈𑂣𑂩 𑂍𑂩𑂷!
She began to sing,वह गाने लगी।,𑂫𑂯 𑂏𑂰𑂢𑂵 𑂪𑂏𑂲।
She has blue eyes,उसकी नीली आँखें हैं।,𑂇𑂮𑂍𑂲 𑂢𑂲𑂪𑂲 𑂄𑂀𑂎𑂵𑂁 𑂯𑂶𑂁।
She isn't married,वह शादीशुदा नहीं है।,𑂫𑂯 𑂬𑂰𑂠𑂲𑂬𑂳𑂠𑂰 𑂢𑂯𑂲𑂁 𑂯𑂶।
Tell me the truth,मुझे सच्चाई बताओ।,𑂧𑂳𑂕𑂵 𑂮𑂒𑂹𑂒𑂰𑂆 𑂥𑂞𑂰𑂋।
The earth rotates,पृथ्वी घूमती है।,𑂣ृ𑂟𑂹𑂫𑂲 𑂐𑂴𑂧𑂞𑂲 𑂯𑂶।
Try it once again,एक बार फिरसे कोशिश करो।,𑂉𑂍 𑂥𑂰𑂩 𑂤𑂱𑂩𑂮𑂵 𑂍𑂷𑂬𑂱𑂬 𑂍𑂩𑂷।
Try it once again,एक बार और प्रयत्न करो।,𑂉𑂍 𑂥𑂰𑂩 𑂌𑂩 𑂣𑂹𑂩𑂨𑂞𑂹𑂢 𑂍𑂩𑂷।
Turn on the radio,रेडियो को चालू करो।,𑂩𑂵𑂙𑂱𑂨𑂷 𑂍𑂷 𑂒𑂰𑂪𑂴 𑂍𑂩𑂷।
We don't know her,हम उसे नहीं जानते हैं।,𑂯𑂧 𑂇𑂮𑂵 𑂢𑂯𑂲𑂁 𑂔𑂰𑂢𑂞𑂵 𑂯𑂶𑂁।
We don't know him,हम उसे नहीं जानते हैं।,𑂯𑂧 𑂇𑂮𑂵 𑂢𑂯𑂲𑂁 𑂔𑂰𑂢𑂞𑂵 𑂯𑂶𑂁।
We have good news,हमारे पास खुशखबर है।,𑂯𑂧𑂰𑂩𑂵 𑂣𑂰𑂮 𑂎𑂳𑂬𑂎𑂥𑂩 𑂯𑂶।
What is happiness,खुशी क्या होती है?,𑂎𑂳𑂬𑂲 𑂍𑂹𑂨𑂰 𑂯𑂷𑂞𑂲 𑂯𑂶?
What is happiness,सुख क्या होता है?,𑂮𑂳𑂎 𑂍𑂹𑂨𑂰 𑂯𑂷𑂞𑂰 𑂯𑂶?
What is your name,आपका नाम क्या है?,𑂄𑂣𑂍𑂰 𑂢𑂰𑂧 𑂍𑂹𑂨𑂰 𑂯𑂶?
What's the matter,मुश्किल क्या है?,𑂧𑂳𑂬𑂹𑂍𑂱𑂪 𑂍𑂹𑂨𑂰 𑂯𑂶?
Where do you live,आप कहाँ रहते हैं?,𑂄𑂣 𑂍𑂯𑂰𑂀 𑂩𑂯𑂞𑂵 𑂯𑂶𑂁?
Where do you live,तुम कहाँ रहते हो?,𑂞𑂳𑂧 𑂍𑂯𑂰𑂀 𑂩𑂯𑂞𑂵 𑂯𑂷?
Where do you live,तू कहाँ रहता है?,𑂞𑂴 𑂍𑂯𑂰𑂀 𑂩𑂯𑂞𑂰 𑂯𑂶?
Where do you live,तुम कहाँ रहती हो?,𑂞𑂳𑂧 𑂍𑂯𑂰𑂀 𑂩𑂯𑂞𑂲 𑂯𑂷?
Where do you live,तू कहाँ रहती है?,𑂞𑂴 𑂍𑂯𑂰𑂀 𑂩𑂯𑂞𑂲 𑂯𑂶?
Where is the book,वह किताब कहाँ है?,𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂍𑂯𑂰𑂀 𑂯𑂶?
